timestamps,rpm,speed,A/F LSU,Short FT,fuelPress,throttle,Manifold,waterTemp,airTemp,ecuTemp,batt,ignSw,Temp LSU,Long FT,A/F SP,injTime,injDuty,injPhase,AccelEnrich,idleTarget,iac,SparkAdv,zoneFlags,O2 Learn,Closed Loop,inj1 status,inj2 status,inj3 status,inj4 status,inj5 status,inj6 status,inj7 status,inj8 status,coil1 status,coil2 status,coil3 status,coil4 status
0.0,1682,39.2,14.100000000000001,-0.6000000089406967,46.992228515446186,13.333333333333334,-12.487749614752829,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1446.8,-6.0,13.90000020712614,4.522000214783475,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0.183,1676,39.2,14.100000000000001,-0.5500000081956387,46.992228515446186,13.333333333333334,-12.400726969353855,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.552941799163818,1450.4,-6.0,13.90000020712614,4.560000216588378,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0.251,1675,39.2,13.85,-1.600000023841858,46.84719077311456,13.333333333333334,-12.487749614752829,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.482353560626507,1448.6000000000001,-6.0,13.90000020712614,4.522000214783475,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0.363,1683,39.2,14.05,-0.5500000081956387,46.84719077311456,13.333333333333334,-12.487749614752829,170.60000000000002,122.00000000000001,302.0,12.494118221104145,13.62353003770113,1450.4,-6.0,13.90000020712614,4.51600021449849,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0.48,1673,39.2,13.8,-1.5500000230967999,46.84719077311456,13.333333333333334,-12.487749614752829,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1446.8,-6.0,13.90000020712614,4.52000021468848,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0.5700000000000001,1670,39.2,13.9,-1.0500000156462193,46.84719077311456,13.333333333333334,-12.487749614752829,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1450.4,-5.0,13.90000020712614,4.52000021468848,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0.67,1673,39.2,13.85,-1.2000000178813934,46.84719077311456,13.333333333333334,-12.458742066286504,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1454.0,-6.0,13.90000020712614,4.530000215163454,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0.774,1662,39.2,14.0,-0.6000000089406967,46.992228515446186,13.333333333333334,-12.400726969353855,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1454.0,-5.0,13.90000020712614,4.532000215258449,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0.845,1666,39.2,14.15,-0.6000000089406967,46.84719077311456,13.333333333333334,-12.400726969353855,170.60000000000002,122.00000000000001,302.0,12.423529982566833,13.62353003770113,1454.0,-5.0,13.90000020712614,4.558000216493383,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
0.9470000000000001,1673,39.2,13.75,-1.0500000156462193,46.84719077311456,13.333333333333334,-12.458742066286504,170.60000000000002,122.00000000000001,302.0,12.211765266954899,13.482353560626507,1455.8,-6.0,13.90000020712614,4.530000215163454,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.046,1676,38.900000000000006,13.9,-1.8500000275671482,46.84719077311456,13.333333333333334,-12.516757163219154,170.60000000000002,122.00000000000001,302.0,12.211765266954899,13.552941799163818,1455.8,-6.0,13.90000020712614,4.502000213833526,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.151,1677,38.900000000000006,14.15,0.7000000104308128,46.84719077311456,13.333333333333334,-12.516757163219154,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1461.2,-6.0,13.90000020712614,4.502000213833526,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.247,1672,38.900000000000006,13.9,-0.45000000670552254,46.84719077311456,13.333333333333334,-12.487749614752829,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.552941799163818,1457.6000000000001,-6.0,13.90000020712614,4.51600021449849,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.356,1668,38.900000000000006,14.05,0.30000000447034836,46.992228515446186,13.333333333333334,-12.42973451782018,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1457.6000000000001,-5.0,13.90000020712614,4.544000215828419,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.446,1669,38.900000000000006,13.8,-0.30000000447034836,46.84719077311456,13.333333333333334,-12.487749614752829,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1457.6000000000001,-5.0,13.90000020712614,4.518000214593485,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.547,1676,38.900000000000006,13.8,-0.9500000141561031,46.84719077311456,13.333333333333334,-12.516757163219154,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1463.0,-6.0,13.90000020712614,4.502000213833526,6,360.0,0.0,675,9.411764860153198,27.75,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.6460000000000001,1676,38.900000000000006,14.0,-0.20000000298023224,46.84719077311456,13.333333333333334,-12.42973451782018,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1457.6000000000001,-6.0,13.90000020712614,4.542000215733424,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.748,1656,38.900000000000006,13.7,-1.5000000223517418,46.84719077311456,13.333333333333334,-12.37171942088753,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1457.6000000000001,-5.0,13.90000020712614,4.576000217348337,6,360.0,0.0,675,9.411764860153198,27.25,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.848,1674,38.900000000000006,14.100000000000001,0.2500000037252903,46.84719077311456,13.333333333333334,-12.284696775488555,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1463.0,-6.0,13.90000020712614,4.609000218915753,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1.948,1672,38.900000000000006,13.75,-1.0000000149011612,46.84719077311456,13.333333333333334,-12.342711872421205,170.60000000000002,122.00000000000001,302.0,12.423529982566833,13.62353003770113,1457.6000000000001,-5.0,13.90000020712614,4.582000217633322,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.052,1669,38.900000000000006,13.75,-1.0000000149011612,46.84719077311456,13.333333333333334,-12.31370432395488,170.60000000000002,122.00000000000001,302.0,12.423529982566833,13.552941799163818,1461.2,-5.0,13.90000020712614,4.597000218345784,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.154,1677,38.900000000000006,14.15,0.850000012665987,46.84719077311456,13.333333333333334,-12.25568922702223,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.482353560626507,1457.6000000000001,-6.0,13.90000020712614,4.619000219390728,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.254,1681,38.900000000000006,13.65,-1.2500000186264515,46.992228515446186,13.333333333333334,-12.284696775488555,170.60000000000002,122.00000000000001,302.0,12.211765266954899,13.482353560626507,1461.2,-6.0,13.90000020712614,4.603000218630768,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.349,1682,38.900000000000006,13.9,-0.30000000447034836,46.992228515446186,13.333333333333334,-12.25568922702223,170.60000000000002,122.00000000000001,302.0,12.423529982566833,13.552941799163818,1461.2,-6.0,13.90000020712614,4.617000219295733,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.454,1676,38.900000000000006,13.75,-1.0000000149011612,46.992228515446186,13.333333333333334,-12.284696775488555,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.552941799163818,1461.2,-6.0,13.90000020712614,4.607000218820758,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.549,1670,38.900000000000006,13.75,-1.3500000201165676,46.84719077311456,13.333333333333334,-12.25568922702223,170.60000000000002,122.00000000000001,302.0,12.494118221104145,13.694118276238441,1457.6000000000001,-5.0,13.90000020712614,4.623000219580717,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.65,1671,38.900000000000006,14.100000000000001,0.5000000074505806,46.992228515446186,13.333333333333334,-12.197674130089581,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1457.6000000000001,-5.0,13.90000020712614,4.647000220720656,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.754,1678,38.900000000000006,13.8,-0.6500000096857548,46.992228515446186,13.333333333333334,-12.226681678555906,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.552941799163818,1457.6000000000001,-6.0,13.90000020712614,4.631000219960697,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.86,1670,38.900000000000006,14.2,0.4000000059604645,46.992228515446186,13.333333333333334,-12.226681678555906,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1457.6000000000001,-5.0,13.90000020712614,4.637000220245682,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
2.95,1679,38.900000000000006,13.75,0.0,46.992228515446186,13.333333333333334,-12.31370432395488,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1455.8,-6.0,13.90000020712614,4.591000218060799,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3.049,1676,38.900000000000006,13.7,-1.1000000163912773,46.992228515446186,13.333333333333334,-12.25568922702223,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.62353003770113,1457.6000000000001,-6.0,13.90000020712614,4.619000219390728,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3.15,1674,38.900000000000006,14.05,0.6000000089406967,46.992228515446186,13.333333333333334,-12.226681678555906,170.60000000000002,122.00000000000001,302.0,12.494118221104145,13.694118276238441,1455.8,-5.0,13.90000020712614,4.635000220150687,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3.255,1675,38.900000000000006,13.75,-0.9000000134110451,46.992228515446186,13.333333333333334,-12.25568922702223,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.552941799163818,1455.8,-6.0,13.90000020712614,4.6210002194857225,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3.35,1670,38.900000000000006,14.05,0.0,46.992228515446186,13.333333333333334,-12.342711872421205,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.62353003770113,1455.8,-5.0,13.90000020712614,4.582000217633322,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3.467,1672,38.900000000000006,13.9,-0.10000000149011612,46.84719077311456,13.333333333333334,-12.342711872421205,170.60000000000002,122.00000000000001,302.0,12.211765266954899,13.482353560626507,1454.0,-5.0,13.90000020712614,4.582000217633322,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3.555,1675,38.900000000000006,13.75,-0.800000011920929,46.84719077311456,13.333333333333334,-12.31370432395488,170.60000000000002,122.00000000000001,302.0,12.423529982566833,13.62353003770113,1454.0,-6.0,13.90000020712614,4.593000218155794,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3.6510000000000002,1666,38.900000000000006,14.0,0.30000000447034836,46.84719077311456,13.333333333333334,-12.342711872421205,170.60000000000002,122.00000000000001,302.0,12.494118221104145,13.62353003770113,1448.6000000000001,-5.0,13.90000020712614,4.586000217823312,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3.856,1670,38.900000000000006,13.7,-0.6500000096857548,46.84719077311456,13.333333333333334,-12.37171942088753,170.60000000000002,122.00000000000001,302.0,12.28235350549221,13.62353003770113,1439.6000000000001,-5.0,13.90000020712614,4.5700002170633525,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3.992,1667,38.900000000000006,13.65,-1.3500000201165676,46.84719077311456,13.333333333333334,-12.37171942088753,170.60000000000002,122.00000000000001,302.0,12.352941744029522,13.552941799163818,1450.4,-5.0,13.90000020712614,4.572000217158347,6,360.0,0.0,675,9.411764860153198,27.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
